id_amat,nome
10585,P.za De Angeli prima di via Trivulzio
10586,"V.le Bezzi, 5 prima di P.za Ghirlandaio"
10587,V.le Etiopia dopo Via Tolstoi
10588,"Via C. da Forli', 6 dopo P.za Tripoli"
10589,"V.le Bezzi,  dopo Via Marostica"
10590,"Via Trivulzio, 6 dopo P.za De Angeli"
10592,"Via Parmigianino, 11 prima di P.za De Angeli"
10593,P.za Tripoli prima di Via Mogadiscio
10594,P.za Tripoli
10595,"V.le Bezzi, dopo P.za Tripoli"
10596,V.le Bezzi dopo di Via Dei Gracchi
10597,"V.le Misurata, prima di  Via  Zuara"
10598,"Via Del Maino, 11 prima di Via Costanza"
10599,"Via Del Maino, 14 dopo Via Costanza"
10600,"Via Sardegna, 44 prima di V.le Bezzi"
10601,"Via Sardegna, 59 dopo Via Cecchi"
10604,"V.le Aretusa, 29 prima di Via Rembrandt"
10605,"Via Rembrandt, 22 prima di V.le Aretusa"
10606,"P.za Selinunte, 6 prima di Via Maratta"
10612,Via Albertinelli prima di P.za M.te Falterona
10614,"P.za Velasquez, 1 prima di Via A. da Messina"
10615,P.za Velasquez fronte 1
10616,"P.za M.te Falterona, 5"
10617,"P.za M.te Falterona, 6"
10618,Via Dolci prima di P.za M.te Falterona
10619,Via Dolci prima di Via Ricciarelli
10620,"Via Vodice, 5 prima di P.le Zavattari"
10621,"Via Dolci, 8 prima di Via Ricciarelli"
10622,"V.le Murillo 17, prima di Via Ricciarelli"
10623,"Via Rubens, 3 prima di P.za Ghirlandaio"
10624,"V.le Ranzoni 27, dopo P.le Brescia"
10625,"V.le Ranzoni, 22 prima di P.le Brescia"
10626,"V.le Murillo 1 , prima di P.le Brescia"
10627,"V.le Murillo 4 , dopo p.le Brescia"
10628,"V.le Ranzoni 1, prima di P.za Ghirlandaio"
10629,"Via Faruffini, 43 dopo P.le Brescia"
10630,"Via Faruffini, 40 prima di P.le Brescia"
10631,"Via Parmigianino, 16 prima di P.za Ghirlandaio"
10632,"Via Faruffini, 19 prima di Via Correggio"
10633,"Via Faruffini, 3 prima di P.za De Angeli"
10634,"Via Faruffini, 12 prima di Via Correggio"
10635,"Via Faruffini, 2 dopo Via R.Sanzio"
10636,Via Diomede dopo Via Agrigento
10637,Via Diomede prima di Via Cassino
10638,P.za S.Maria Nascente
10639,"Via Gavirate, 19 prima di Via Gignese"
10640,Via Gavirate dopo Via Gignese
10641,V.le Salmoiraghi prima di Via Caliano
10642,V.le Salmoiraghi dopo Via Montechiari
10644,P.le Lotto prima di V.le Migliara
10646,P.le Lotto dopo Via Diomede
10647,P.le Lotto dopo V.le Elia
10648,V.le Salmoiraghi prima di P.za Stuparich
10649,V.le Salmoiraghi dopo P.za Stuparich
10650,V.le Migliara prima di P.za Zavattari
